category,name,count,mean,median,p95,max,stddev
system,cpu_percent,100,61.682,62.051,65.68,68.159,2.706
system,ram_percent,100,46.762,46.818,46.906,46.957,0.2
system,ram_used_mb,100,3563.114,3567.387,3574.104,3578.0,15.263
system,swap_used_mb,100,0.0,0.0,0.0,0.0,0.0
system,gpu_percent,100,21.71,0.0,99.0,99.0,35.578
system,cpu_temperature_c,100,60.16,60.187,60.97,61.125,0.513
system,gpu_temperature_c,100,60.054,60.031,60.906,60.968,0.474
system,input_power_mw,100,8118.35,8186.0,8589.0,8788.0,378.322
core,cpu0,100,62.641,62.887,69.608,71.569,4.216
core,cpu1,100,58.808,58.73,64.356,68.75,3.593
core,cpu2,100,57.93,57.98,63.288,69.388,3.937
core,cpu3,100,58.87,58.641,65.745,69.307,4.071
core,cpu4,100,65.48,64.974,71.895,77.358,4.087
core,cpu5,100,66.131,66.322,72.193,76.0,4.045
process:fastapi,cpu_core_percent,100,67.7,68.004,74.967,78.979,4.416
process:fastapi,rss_mb,100,184.733,184.853,186.131,187.156,0.704
process:fastapi,threads,100,35.78,36.0,36.0,36.0,0.414
process:mission_manager,cpu_core_percent,100,38.83,41.999,45.0,46.992,6.776
process:mission_manager,rss_mb,100,77.098,77.098,77.098,77.098,0.0
process:mission_manager,threads,100,20.0,20.0,20.0,20.0,0.0
process:nav2_behavior,cpu_core_percent,100,9.27,9.001,10.999,11.003,0.823
process:nav2_behavior,rss_mb,100,40.664,40.68,40.68,40.68,0.062
process:nav2_behavior,threads,100,12.09,12.0,13.0,13.0,0.286
process:nav2_controller,cpu_core_percent,100,28.89,29.002,50.0,54.004,13.536
process:nav2_controller,rss_mb,100,48.493,48.613,48.656,48.738,0.592
process:nav2_controller,threads,100,16.7,17.0,17.0,17.0,0.458
process:nav2_navigator,cpu_core_percent,100,14.36,15.005,17.0,17.026,2.444
process:nav2_navigator,rss_mb,100,49.142,49.184,49.184,49.184,0.129
process:nav2_navigator,threads,100,11.71,12.0,12.0,12.0,0.454
process:nav2_planner,cpu_core_percent,100,8.23,8.001,9.004,10.001,0.719
process:nav2_planner,rss_mb,100,45.431,45.441,45.504,45.508,0.063
process:nav2_planner,threads,100,17.01,17.0,17.0,18.0,0.099
process:nav2_velocity,cpu_core_percent,100,6.69,6.999,7.999,9.014,0.674
process:nav2_velocity,rss_mb,100,29.75,29.75,29.75,29.75,0.0
process:nav2_velocity,threads,100,11.0,11.0,11.0,11.0,0.0
process:nav2_waypoint,cpu_core_percent,100,6.36,6.001,7.002,7.014,0.625
process:nav2_waypoint,rss_mb,100,32.855,32.855,32.855,32.855,0.0
process:nav2_waypoint,threads,100,11.0,11.0,11.0,11.0,0.0
process:safety,cpu_core_percent,100,10.93,11.0,13.0,14.001,1.267
process:safety,rss_mb,100,113.848,113.848,113.848,113.848,0.0
process:safety,threads,100,27.0,27.0,27.0,27.0,0.0
process:yolo,cpu_core_percent,100,26.15,25.999,30.061,35.006,2.814
process:yolo,rss_mb,100,991.541,998.321,998.836,998.836,17.398
process:yolo,threads,100,67.0,67.0,67.0,67.0,0.0
